id,average_length,average_weight,habitat,ph_of_water,color,Gender,life_span
63,18.19,5.84,ponds,6.3,Red_and_Silver,FALSE,25.9
64,19.38,11.89,ponds,6.5,White,TRUE,11.6
65,4.53,7.99,ponds,7,Green_and_Chocolate,FALSE,15.1
66,13.25,18.9,ponds,6.9,White,TRUE,15.6
67,10.23,16.19,slowmovingwaters,6.3,Green_and_Chocolate,FALSE,2.5
68,6.96,9.46,rivers,6.6,Calico,TRUE,18.1
69,16.47,12.64,slowmovingwaters,7.9,Orange,FALSE,14.4
70,4.46,3.06,lakes,6.9,Yellow,TRUE,21.3
71,4.56,9.53,slowmovingwaters,7,Red_and_White_Bi_Color,FALSE,19.8
72,12.25,17.13,slowmovingwaters,6,Red_and_White_Bi_Color,FALSE,2.8
73,8.17,12,rivers,7.9,Red_and_Silver,TRUE,18.7
74,14.05,17.34,rivers,6.8,Reddish_Orange,FALSE,11.6
75,15.29,6.93,ponds,6.4,Red_and_Silver,FALSE,17.5
76,13.04,15.51,idlewater,7.2,Calico,TRUE,26.6
77,14.62,6.76,lakes,7.8,Reddish_Orange,TRUE,3.1
78,13.43,9.19,ponds,6.5,Red_and_Silver,TRUE,18.4
79,9.32,5.94,slowmovingwaters,6.9,Calico,FALSE,16.2
80,9.29,14.39,idlewater,6.4,Red_and_Silver,FALSE,16.4
81,12.82,4.64,ponds,7.6,White,FALSE,10.4
82,18.88,10.85,rivers,6.7,Green_and_Chocolate,TRUE,1.2
83,12.79,6.38,slowmovingwaters,7.7,Yellow,FALSE,19.1
84,3.38,15.76,slowmovingwaters,7.6,Black_and_Orange,FALSE,2.2
85,2.97,11.32,idlewater,7.9,Yellow,TRUE,25.8
86,10.21,6.14,lakes,7.3,Black_and_Orange,FALSE,24.1
87,10.95,10.1,rivers,7.1,Red_and_White_Bi_Color,TRUE,25.6
88,2.64,6.22,ponds,7.7,Red_and_Silver,FALSE,25.9
89,6.32,10.15,lakes,7.3,Reddish_Orange,FALSE,18.5
90,1.11,13.61,idlewater,6.8,Green_and_Chocolate,FALSE,5.5
91,1.24,17.02,slowmovingwaters,7.2,Reddish_Orange,FALSE,9.4
92,10.91,8.94,rivers,6.6,Calico,TRUE,21.7
93,14.42,10.69,ponds,7.8,Red_and_Silver,TRUE,11.4
94,13.68,3.48,slowmovingwaters,7.5,Red_and_Silver,TRUE,22.8
95,7.17,2.19,slowmovingwaters,6.3,Red_and_Silver,FALSE,14.6
96,10.7,2.84,ponds,7.7,Orange,TRUE,2.8
97,8.38,9.06,slowmovingwaters,7.9,Reddish_Orange,FALSE,24.5
98,3,2.78,lakes,6.8,Red_and_White_Bi_Color,FALSE,9.9
99,10.83,8.2,rivers,7.8,Orange,TRUE,27.2
100,4.43,3.89,rivers,6.6,Orange,TRUE,12.9
101,7.66,15.9,idlewater,6.6,Red_and_Silver,FALSE,9.8
102,6.01,6.09,ponds,7.3,Green_and_Chocolate,FALSE,12.3
103,5.4,9.31,slowmovingwaters,6.7,Calico,FALSE,4.9
104,12.69,12.82,ponds,7.3,Red_and_Silver,FALSE,21.4
105,13.56,11.39,slowmovingwaters,6.8,Red_and_White_Bi_Color,FALSE,8.4
106,15.42,13.9,lakes,7.1,Red_and_Silver,FALSE,5.8
107,10.3,3.6,lakes,6.5,Orange,TRUE,8.6
108,11.42,8.98,rivers,7.6,Orange,TRUE,10.1
109,5.93,6.65,slowmovingwaters,6.5,Red_and_White_Bi_Color,TRUE,10.7
110,6.84,15.89,lakes,6.5,Yellow,TRUE,18.3
111,17.79,18.24,slowmovingwaters,6.3,Green_and_Chocolate,FALSE,22.6
112,9.88,15.54,rivers,6.4,Yellow,TRUE,11.7
113,14.08,17.34,idlewater,7.9,Red_and_Silver,TRUE,7.3
114,6.37,3.63,ponds,7.1,White,TRUE,5.2
115,5.44,3.71,idlewater,7.5,Green_and_Chocolate,FALSE,8.3
116,4.3,7.57,ponds,6.4,Yellow,TRUE,24
117,15.76,15.6,lakes,6.4,White,FALSE,3.2
118,11.39,13.56,idlewater,7.2,White,FALSE,18
119,3.85,5.3,slowmovingwaters,7.4,Red_and_Silver,TRUE,7
120,11.3,3.82,lakes,6.8,Black_and_Orange,FALSE,3.8
121,2.94,2.37,lakes,6.3,Red_and_White_Bi_Color,TRUE,6.8
122,12.22,16.04,lakes,6.4,White,FALSE,8.5
123,8.32,15.88,idlewater,6.1,White,FALSE,26.1
124,18.91,7.38,rivers,7.4,Red_and_Silver,FALSE,10.6
125,16.25,2.79,ponds,7.1,Calico,TRUE,18.8
126,13.82,15.55,lakes,7.5,Reddish_Orange,FALSE,12.7
127,5.12,4.04,idlewater,7.6,Red_and_Silver,FALSE,3
128,5.04,6.73,slowmovingwaters,7.6,Reddish_Orange,FALSE,27.2
129,19.56,8.12,rivers,6.4,Orange,FALSE,1.8
130,9.28,2.99,rivers,6.3,Green_and_Chocolate,TRUE,17.4
131,16.43,8.02,lakes,6.9,Calico,TRUE,11
132,13.97,9.2,idlewater,6.2,Yellow,FALSE,8.3
133,11.19,3.52,lakes,7.1,Red_and_Silver,TRUE,2.4
134,12.99,9.61,lakes,6.8,Reddish_Orange,TRUE,6.4
135,1.41,7.07,ponds,7.3,Red_and_White_Bi_Color,TRUE,26.3
136,15.4,8.39,ponds,7.4,Red_and_Silver,TRUE,16.9
137,1.88,13.08,slowmovingwaters,7.4,Black_and_Orange,TRUE,14.9
138,3.01,12.28,idlewater,7.8,Red_and_Silver,FALSE,26.1
139,16.87,9.76,ponds,6.1,Red_and_Silver,FALSE,15
140,6.82,18.05,idlewater,6.8,Red_and_White_Bi_Color,TRUE,16.4
141,11.76,6.98,lakes,6.5,Calico,TRUE,1.3
142,2.06,6.99,rivers,7.5,White,FALSE,14.7
143,3.84,14.7,lakes,7.4,White,FALSE,4.2
144,7.72,16.67,rivers,7.8,Red_and_White_Bi_Color,TRUE,27.8
145,12.29,9.68,ponds,7.1,Black_and_Orange,FALSE,26.2
146,6.19,3.64,ponds,6,Yellow,FALSE,4.1
147,4.49,4.54,lakes,6.4,Red_and_White_Bi_Color,TRUE,15.3
148,19.19,4.34,slowmovingwaters,7.2,Green_and_Chocolate,TRUE,16.7
149,13.33,5.12,rivers,7.8,Orange,TRUE,12.8
150,9.57,16.07,rivers,6.7,Reddish_Orange,TRUE,20.2
151,6.61,11.51,slowmovingwaters,7.9,Reddish_Orange,TRUE,13.8
152,10.81,7.21,ponds,7.4,White,TRUE,22
153,9.1,10.47,idlewater,7.3,Green_and_Chocolate,TRUE,23.8
154,14.77,11.87,idlewater,6.4,Orange,TRUE,21.6
155,11.32,2.24,rivers,6.3,Yellow,TRUE,14.2
156,8.39,5.8,idlewater,7.1,Black_and_Orange,TRUE,2.8
157,18.28,9.49,lakes,7.1,Yellow,TRUE,27.5
158,3.71,3.36,ponds,6.1,Red_and_Silver,FALSE,26.3
159,16.01,4.24,idlewater,7.3,White,FALSE,18
160,12.19,13.74,idlewater,6.2,Yellow,FALSE,21.2
161,19.82,15.96,lakes,7.3,Green_and_Chocolate,TRUE,17.1
162,19.95,10.67,slowmovingwaters,7.8,Yellow,TRUE,4.8
163,6.18,10.32,idlewater,7.2,Calico,TRUE,13.7
164,10.36,2.08,lakes,7.6,Yellow,FALSE,22.6
165,17.52,9.68,ponds,7,Yellow,FALSE,17.9
166,6.78,13.87,slowmovingwaters,6,White,TRUE,24.3
167,7.18,6.65,ponds,6.1,Red_and_Silver,TRUE,26.5
168,4.67,3.61,idlewater,6.2,Reddish_Orange,TRUE,12.3
169,18.26,17.97,rivers,7.6,Green_and_Chocolate,TRUE,10.1
170,14.36,4.5,lakes,7.1,White,FALSE,27.4
171,16.78,5.34,slowmovingwaters,7.9,Red_and_Silver,TRUE,12.5
172,3.24,15.09,ponds,6.9,Reddish_Orange,TRUE,7
173,19.14,11.76,ponds,6.6,Reddish_Orange,TRUE,25
174,11.97,4.48,slowmovingwaters,7.5,Red_and_Silver,FALSE,13.8
175,18.48,15.48,ponds,7.5,Calico,FALSE,18.6
176,6.55,9.78,slowmovingwaters,7.3,Green_and_Chocolate,FALSE,10.2
177,7.14,15.24,slowmovingwaters,7.9,White,FALSE,10.1
178,10.22,6.25,rivers,7.3,Reddish_Orange,TRUE,28
179,17.73,14.09,lakes,7.9,Yellow,FALSE,6.5
180,3.55,5.96,rivers,6.5,Calico,TRUE,3.1
181,1.15,4.16,slowmovingwaters,6.5,Orange,TRUE,26.7
182,6.11,7.41,lakes,7.7,Black_and_Orange,FALSE,27.6
183,18.24,18.92,lakes,6.7,Green_and_Chocolate,TRUE,16.8
184,11.77,12.75,slowmovingwaters,7.3,Reddish_Orange,FALSE,12.6
185,4.38,16.95,ponds,6.7,Calico,TRUE,9.9
186,19.94,2.59,lakes,7.8,Red_and_White_Bi_Color,TRUE,1.4
187,13.69,3.84,idlewater,6.9,Black_and_Orange,TRUE,12
188,2.79,10.4,lakes,6,Black_and_Orange,FALSE,15.9
189,14.27,10.2,slowmovingwaters,6,Red_and_White_Bi_Color,TRUE,21.6
190,10.35,17.53,slowmovingwaters,7.3,Yellow,TRUE,14.3
191,11.11,9.51,rivers,6.9,Green_and_Chocolate,FALSE,2
192,18.84,3.8,rivers,7.8,Calico,TRUE,25
193,16.48,8.96,ponds,7,Calico,TRUE,5.8
194,4.06,6.37,ponds,7.9,Yellow,TRUE,19.5
195,5.61,15.95,rivers,6.6,Yellow,TRUE,1.2
196,15.75,16.82,slowmovingwaters,6.7,Calico,FALSE,23.6
197,3.82,2.31,slowmovingwaters,6.9,Green_and_Chocolate,TRUE,20.5
198,12.86,15.03,ponds,7.8,Red_and_White_Bi_Color,TRUE,10.9
199,6.14,4.17,ponds,7.7,White,FALSE,14.1
